query	target	fident	alnlen	mismatch	gapopen	qstart	qend	tstart	tend	evalue	bits	database
WP_036823854.1	AF-A0A099XV68-F1-model_v6	1.0	148	0	0	1	148	1	148	7.074e-18	854	uniprot
WP_148264633.1	AF-A0A2T6AMN8-F1-model_v6	0.506	229	112	0	1	229	1	228	7.117e-17	852	uniprot
WP_011711105.1	AF-A0A191TPL1-F1-model_v6	0.578	209	88	0	1	209	3	211	1.653e-15	852	uniprot
WP_091893049.1	AF-A0A4Q3BBF7-F1-model_v6	0.492	204	102	0	1	204	3	203	8.146e-17	852	uniprot
WP_091892190.1	AF-A0A1H1M219-F1-model_v6	1.0	160	0	0	1	160	1	160	6.474e-20	852	uniprot
WP_144959673.1	AF-A0A559PJX0-F1-model_v6	0.967	155	5	0	1	155	1	155	1.03e-18	852	uniprot
WP_038531445.1	AF-T2KNB0-F1-model_v6	1.0	148	0	0	1	148	1	148	5.885e-18	852	uniprot
WP_038526126.1	AF-A0A9X0YNH2-F1-model_v6	0.68	166	52	0	1	166	1	162	3.076e-18	851	uniprot
WP_144724927.1	AF-A0AAU7EJ46-F1-model_v6	0.671	219	72	0	1	219	1	219	3.24e-17	850	uniprot
WP_101446065.1	AF-A0A2N3T2Y2-F1-model_v6	0.945	197	11	0	1	197	1	197	5.5340000000000004e-21	850	uniprot
WP_037348610.1	AF-A0A1I1NBY3-F1-model_v6	0.707	193	56	0	2	194	1	191	1.311e-16	850	uniprot
WP_101447353.1	AF-A0A2N3T513-F1-model_v6	1.0	151	0	0	1	151	1	151	7.673e-19	849	uniprot
WP_011710454.1	AF-A0M4K6-F1-model_v6	1.0	140	0	0	1	140	1	140	7.472e-21	849	uniprot
WP_119028467.1	AF-A0A925HAP2-F1-model_v6	0.585	140	58	0	13	152	14	153	1.463e-19	849	uniprot
WP_119028231.1	AF-A0A559RIP4-F1-model_v6	0.811	122	23	0	1	122	1	122	1.87e-16	849	uniprot
WP_026755082.1	AF-A0A4V1LMP7-F1-model_v6	0.448	194	104	0	1	194	1	189	1.005e-17	848	uniprot
WP_101449632.1	AF-A0A023BR41-F1-model_v6	0.96	177	7	0	1	177	1	177	1.223e-19	848	uniprot
WP_101449533.1	AF-A0A3A9UXR9-F1-model_v6	0.726	172	47	0	15	186	2	173	1.3e-19	848	uniprot
WP_038526129.1	AF-T2KHF3-F1-model_v6	1.0	158	0	0	12	169	2	159	3.214e-17	848	uniprot
WP_144725161.1	AF-A0A397LA56-F1-model_v6	0.993	148	1	0	1	148	35	182	4.53e-17	848	uniprot
WP_036825794.1	AF-A0A099Y075-F1-model_v6	1.0	136	0	0	1	136	1	136	6.929000000000001e-20	848	uniprot
WP_119030463.1	AF-A0A397LH87-F1-model_v6	1.0	129	0	0	1	129	1	129	3.422e-19	848	uniprot
WP_101447687.1	AF-A0A554VLC2-F1-model_v6	0.573	178	76	0	1	178	1	178	2.548e-16	847	uniprot
WP_119030282.1	AF-A0A2I2DUN3-F1-model_v6	0.68	169	51	0	14	182	2	161	2.009e-21	847	uniprot
WP_089661657.1	AF-A0A9X1V0U4-F1-model_v6	0.756	161	39	0	1	161	1	161	4.8260000000000006e-20	847	uniprot
WP_144958307.1	AF-A0A559PHW1-F1-model_v6	0.606	178	70	0	1	178	1	178	2.668e-16	846	uniprot
WP_144724737.1	AF-A0A2A4G8B5-F1-model_v6	0.59	149	61	0	1	149	1	149	8.345000000000001e-21	846	uniprot
WP_036827700.1	AF-A0A516GRU6-F1-model_v6	0.591	174	71	0	1	174	1	174	2.208e-19	845	uniprot
WP_011709176.1	AF-A0M0W5-F1-model_v6	1.0	172	0	0	1	172	1	172	1.728e-19	844	uniprot
WP_143273625.1	AF-A0A2N3T7Y8-F1-model_v6	1.0	154	0	0	1	154	1	154	7.272e-21	843	uniprot
WP_144725145.1	AF-A0A1Z7Z9B5-F1-model_v6	0.674	132	42	0	1	131	1	132	1.651e-19	843	uniprot
WP_101449913.1	AF-A0A162CPV5-F1-model_v6	0.712	202	58	0	1	202	1	201	1.166e-19	842	uniprot
WP_156032998.1	AF-A0A7C7K3V4-F1-model_v6	0.585	229	95	0	6	234	1	229	1.046e-15	841	uniprot
WP_089661556.1	AF-A0A9X2A870-F1-model_v6	0.677	189	61	0	3	191	1	189	4.246e-17	841	uniprot
WP_101445234.1	AF-A0A554VC80-F1-model_v6	0.877	171	21	0	1	171	1	171	5.198e-16	841	uniprot
WP_091891903.1	AF-A0A2P6CCY3-F1-model_v6	0.627	169	63	0	1	169	1	169	8.039e-20	841	uniprot
WP_089660979.1	AF-A0LZP0-F1-model_v6	0.793	160	32	0	3	162	1	154	1.033e-16	841	uniprot
WP_101448221.1	AF-A0A2N3T7L2-F1-model_v6	1.0	145	0	0	1	145	1	145	3.442e-18	841	uniprot
WP_144959784.1	AF-A0A1T5C369-F1-model_v6	0.536	191	88	0	1	191	1	190	9.336e-18	840	uniprot
WP_038532395.1	AF-A0A6L6U7Q3-F1-model_v6	0.502	190	93	0	1	188	1	190	3.248e-17	840	uniprot
WP_144963608.1	AF-A0A559PT90-F1-model_v6	1.0	147	0	0	1	147	1	147	1.275e-18	840	uniprot
WP_101445349.1	AF-A0A1H7KWY1-F1-model_v6	0.659	219	73	0	16	230	2	220	2.425e-18	839	uniprot
WP_144960867.1	AF-A0A559PLU0-F1-model_v6	0.938	174	11	0	1	174	1	174	8.838e-21	839	uniprot
WP_101449200.1	AF-A0A2N3TAJ6-F1-model_v6	1.0	150	0	0	1	150	1	150	4.621e-19	839	uniprot
WP_144958609.1	AF-A0A5C6ZUV7-F1-model_v6	0.793	150	31	0	1	150	1	150	1.208e-16	839	uniprot
WP_119028471.1	AF-N1WHV5-F1-model_v6	0.566	210	91	0	4	213	16	225	3.022e-16	838	uniprot
WP_101449362.1	AF-A0A5C7GGQ1-F1-model_v6	0.796	172	35	0	1	172	1	172	2.907e-17	838	uniprot
WP_119030119.1	AF-A0A397LIT4-F1-model_v6	1.0	121	0	0	1	121	1	121	1.79e-18	838	uniprot
WP_011711264.1	AF-A0A3N0ESG6-F1-model_v6	0.544	224	102	0	1	224	1	224	2.575e-14	837	uniprot
WP_036825153.1	AF-A0A2S7L106-F1-model_v6	0.734	181	48	0	1	181	1	181	4.364e-16	837	uniprot
WP_197022178.1	AF-A0A316KY13-F1-model_v6	0.562	169	73	0	3	170	2	170	1.645e-18	837	uniprot
WP_089662694.1	AF-A0A550I340-F1-model_v6	0.572	157	67	0	1	157	1	157	7.687000000000001e-20	837	uniprot
WP_051774652.1	AF-A0A941HMY8-F1-model_v6	0.863	183	25	0	3	185	23	205	1.576e-14	836	uniprot
WP_119028044.1	AF-S7WUG9-F1-model_v6	0.662	166	54	0	2	167	21	180	8.981e-17	836	uniprot
WP_101449875.1	AF-A0A2K9PM38-F1-model_v6	0.591	267	109	0	1	267	1	267	5.971e-18	835	uniprot
WP_101446972.1	AF-A0A5S5C9I1-F1-model_v6	0.595	210	85	0	11	220	2	211	1.723e-14	835	uniprot
WP_091892080.1	AF-A0A1M7NFL6-F1-model_v6	0.653	325	112	0	1	325	1	325	2.109e-19	834	uniprot
WP_144962715.1	AF-A0A559PQ46-F1-model_v6	1.0	167	0	0	1	167	1	167	4.287e-19	834	uniprot
WP_091895046.1	AF-A0A318IEV3-F1-model_v6	0.722	148	41	0	2	149	20	167	5.728e-16	834	uniprot
WP_036825230.1	AF-A0A099Y191-F1-model_v6	0.924	183	14	0	1	183	1	183	1.033e-17	833	uniprot
WP_101447663.1	AF-A0A3B7CD29-F1-model_v6	0.574	186	79	0	1	186	1	186	6.801e-17	832	uniprot
WP_091896738.1	AF-A0A1H1SXF6-F1-model_v6	1.0	184	0	0	1	184	1	184	3.429e-17	832	uniprot
WP_144963159.1	AF-A0A1L6R501-F1-model_v6	0.68	163	51	0	36	198	31	191	2.078e-17	832	uniprot
WP_038532060.1	AF-T2KPK1-F1-model_v6	1.0	133	0	0	1	133	1	133	1.573e-17	832	uniprot
WP_101447716.1	AF-A0A2G2E663-F1-model_v6	0.574	254	108	0	1	254	1	254	3.124e-17	831	uniprot
WP_144724822.1	AF-A0A5B7U0X1-F1-model_v6	0.856	146	21	0	15	160	2	147	8.354e-19	831	uniprot
WP_038531898.1	AF-A0A2T2VST3-F1-model_v6	0.559	168	73	0	1	167	1	168	2.763e-19	829	uniprot
WP_089663517.1	AF-A0A2T6AGR5-F1-model_v6	0.723	152	42	0	1	152	1	152	9.698e-17	829	uniprot
WP_089661460.1	AF-A0A2T6AKQ9-F1-model_v6	0.72	143	39	0	1	142	1	143	4.389e-21	829	uniprot
WP_036825202.1	AF-A0A176TF75-F1-model_v6	0.55	216	96	0	1	216	1	214	2.021e-16	828	uniprot
WP_037348822.1	AF-A0A1H9ATN9-F1-model_v6	0.433	202	114	0	7	208	7	208	6.643e-17	828	uniprot
WP_089663562.1	AF-A0A0P7AH96-F1-model_v6	0.382	189	114	0	1	189	26	210	6.788e-17	828	uniprot
WP_144959211.1	AF-A0A559PJ64-F1-model_v6	1.0	162	0	0	1	162	1	162	3.934e-18	828	uniprot
WP_036820499.1	AF-A0A4R2P327-F1-model_v6	0.694	157	48	0	1	157	1	157	1.37e-16	828	uniprot
WP_101449745.1	AF-A0A2N3TCB6-F1-model_v6	1.0	155	0	0	1	155	1	155	2.273e-17	828	uniprot
WP_156033159.1	AF-A0A1K1Q8Z8-F1-model_v6	0.441	170	94	0	13	182	18	187	3.012e-17	827	uniprot
WP_026755746.1	AF-A0A327RU67-F1-model_v6	0.654	167	57	0	1	167	33	197	2.078e-17	827	uniprot
WP_026754199.1	AF-F4AVN3-F1-model_v6	0.544	208	93	0	12	217	364	571	2.861e-15	826	uniprot
WP_011709569.1	AF-A0A2T6AGR5-F1-model_v6	0.64	152	54	0	1	152	1	152	1.822e-17	826	uniprot
WP_148304591.1	AF-A0A918VFY8-F1-model_v6	0.936	141	9	0	1	141	1	141	1.813e-16	826	uniprot
WP_089663368.1	AF-A0A1H1R871-F1-model_v6	1.0	127	0	0	1	127	1	127	1.342e-20	826	uniprot
WP_036825200.1	AF-A2TYJ5-F1-model_v6	0.599	232	92	0	1	232	1	231	5.073e-15	825	uniprot
WP_156109148.1	AF-A0A7L8ABU4-F1-model_v6	0.568	207	89	0	2	208	1	206	5.629e-16	825	uniprot
WP_091889999.1	AF-A0A945EYD0-F1-model_v6	0.611	175	68	0	3	177	4	178	5.323e-16	825	uniprot
WP_036828165.1	AF-A0A099XK94-F1-model_v6	1.0	154	0	0	1	154	1	154	1.917e-17	825	uniprot
WP_036827216.1	AF-A0A099XR23-F1-model_v6	1.0	115	0	0	32	146	6	120	1.829e-16	825	uniprot
WP_011710218.1	AF-A0A9X2KZL9-F1-model_v6	0.528	158	74	0	1	158	1	158	3.866e-20	824	uniprot
WP_091896508.1	AF-A0A2P6C7M1-F1-model_v6	0.641	225	80	0	1	225	1	225	5.941e-16	823	uniprot
WP_091896953.1	AF-A0A099XWY4-F1-model_v6	0.703	206	61	0	1	206	1	206	8.008e-16	823	uniprot
WP_091890359.1	AF-A0A1H1KY74-F1-model_v6	1.0	163	0	0	1	163	6	168	2.529e-20	823	uniprot
WP_037348975.1	AF-A0A1G6FBJ3-F1-model_v6	0.513	181	87	0	5	185	17	196	1.471e-17	822	uniprot
WP_144963150.1	AF-S7WUG9-F1-model_v6	0.664	164	54	0	1	164	20	180	1.386e-16	822	uniprot
WP_101448561.1	AF-A0A7H0VHE3-F1-model_v6	0.523	231	107	0	1	231	4	228	2.344e-17	821	uniprot
WP_143273595.1	AF-A0A2V4A4W2-F1-model_v6	0.653	182	63	0	1	182	1	182	1.903e-16	821	uniprot
WP_026753501.1	AF-A0A2K1DWI3-F1-model_v6	0.626	230	86	0	1	230	127	356	4.778e-15	820	uniprot
WP_144962762.1	AF-A0A5B7X0Q4-F1-model_v6	0.666	201	66	0	1	199	1	201	4.149e-18	820	uniprot
WP_144961802.1	AF-A0A6I2MKU9-F1-model_v6	0.612	191	74	0	1	191	1	191	1.281e-19	820	uniprot
WP_101449407.1	AF-A0A2N3TB80-F1-model_v6	0.943	159	9	0	1	159	1	159	1.677e-18	820	uniprot
WP_038526998.1	AF-T2KIB4-F1-model_v6	1.0	143	0	0	1	143	1	143	1.846e-16	820	uniprot
WP_162179440.1	AF-A0A2U2JEY6-F1-model_v6	0.653	202	70	0	1	202	1	202	6.797e-16	819	uniprot
WP_144963032.1	AF-A0A4S1DVN7-F1-model_v6	0.675	197	63	0	1	197	1	194	9.03e-16	819	uniprot
WP_144960798.1	AF-A0A559PLR3-F1-model_v6	1.0	149	0	0	1	149	1	149	1.482e-16	819	uniprot
WP_144961231.1	AF-A0A559PMU7-F1-model_v6	1.0	143	0	0	1	143	1	143	2.376e-16	819	uniprot
WP_052108505.1	AF-A0A099XX32-F1-model_v6	0.758	193	46	0	1	193	1	193	1.462e-15	818	uniprot
WP_144726486.1	AF-A0A3M8G7V4-F1-model_v6	0.559	186	80	0	1	186	1	183	3.595e-19	818	uniprot
WP_089661270.1	AF-A0A1H1LA14-F1-model_v6	0.952	166	8	0	1	166	1	166	6.758e-16	818	uniprot
WP_144727114.1	AF-A0A223V994-F1-model_v6	0.517	278	124	0	1	278	1	258	2.097e-15	817	uniprot
WP_144726432.1	AF-A0A2G2KRH2-F1-model_v6	0.453	225	123	0	27	251	2	226	1.321e-15	817	uniprot
WP_036819614.1	AF-A0A559RZJ4-F1-model_v6	0.841	158	25	0	1	158	1	158	2.912e-16	817	uniprot
WP_089661291.1	AF-A0A1H1LB96-F1-model_v6	1.0	148	0	0	1	148	1	148	6.511e-16	817	uniprot
WP_144726026.1	AF-A0A1Q3ZLL7-F1-model_v6	0.604	143	56	0	1	143	1	143	2.351e-18	815	uniprot
WP_144726248.1	AF-A0A7Y2ZUM7-F1-model_v6	0.594	143	58	0	1	143	1	143	6.899e-18	814	uniprot
WP_036828073.1	AF-A0A099XMI2-F1-model_v6	1.0	198	0	0	17	214	17	214	1.076e-16	813	uniprot
WP_186434956.1	AF-A0A559PLL7-F1-model_v6	1.0	138	0	0	1	138	8	145	1.94e-17	813	uniprot
WP_235318255.1	AF-A0A099XVT3-F1-model_v6	1.0	120	0	0	1	120	1	120	1.116e-20	813	uniprot
WP_026754240.1	AF-A0A2D4Y8X1-F1-model_v6	0.556	176	77	0	1	175	1	176	2.099e-18	812	uniprot
WP_101449675.1	AF-A0A2N3TC29-F1-model_v6	0.955	157	7	0	1	157	1	157	1.621e-18	812	uniprot
WP_089662032.1	AF-A0A9X1V1U2-F1-model_v6	0.597	154	62	0	1	154	1	154	3.598e-16	812	uniprot
WP_119028908.1	AF-A0A397LK60-F1-model_v6	1.0	109	0	0	1	109	1	109	1.231e-16	812	uniprot
WP_144959338.1	AF-A0A2N0TP67-F1-model_v6	0.563	180	78	0	1	180	1	179	1.922e-15	811	uniprot
WP_036827840.1	AF-A0A099XPN5-F1-model_v6	1.0	178	0	0	1	178	1	178	9.428000000000001e-21	811	uniprot
WP_156109191.1	AF-A0A099Y1H8-F1-model_v6	0.945	177	10	0	1	177	1	177	4.431e-18	811	uniprot
WP_101448095.1	AF-A0A554VPZ9-F1-model_v6	0.728	149	40	0	1	148	1	149	1.134e-15	811	uniprot
WP_011710886.1	AF-A0M5U0-F1-model_v6	1.0	143	0	0	1	143	1	143	2.669e-17	811	uniprot
WP_036822049.1	AF-A0A7G9LD57-F1-model_v6	0.778	190	41	0	1	190	1	186	2.069e-18	810	uniprot
WP_101450333.1	AF-A0A3B0SV96-F1-model_v6	0.529	153	71	0	1	151	1	153	1.636e-15	809	uniprot
WP_036825231.1	AF-A0A099XX79-F1-model_v6	1.0	149	0	0	33	181	1	149	1.642e-16	809	uniprot
WP_144963264.1	AF-A0A495PWB8-F1-model_v6	0.812	232	43	0	1	232	1	232	3.0880000000000004e-20	808	uniprot
WP_011708442.1	AF-A0A2R3Z625-F1-model_v6	0.679	202	64	0	1	202	1	201	1.063e-18	808	uniprot
WP_119029395.1	AF-A0A7K0E393-F1-model_v6	0.485	200	93	0	1	182	1	200	8.566e-17	808	uniprot
WP_101449376.1	AF-A0A2N3TB84-F1-model_v6	1.0	162	0	0	1	162	1	162	5.716e-18	808	uniprot
WP_101450323.1	AF-A0A2N3TE89-F1-model_v6	0.954	174	8	0	1	174	1	174	4.399e-19	807	uniprot
WP_119028950.1	AF-A0A239HBS1-F1-model_v6	0.756	148	36	0	1	148	19	166	1.471e-15	807	uniprot
WP_157717370.1	AF-A0A1H1M245-F1-model_v6	1.0	141	0	0	1	141	1	141	4.644e-16	807	uniprot
WP_144726264.1	AF-A0A397LKX4-F1-model_v6	0.992	139	1	0	1	139	18	156	3.093e-15	806	uniprot
WP_144960831.1	AF-A0A4S1DVN7-F1-model_v6	0.69	197	60	0	1	197	1	194	1.545e-15	805	uniprot
WP_101445159.1	AF-A0A3A9V6U4-F1-model_v6	0.713	164	47	0	10	173	2	165	5.606e-20	805	uniprot
WP_026755744.1	AF-A0A397LHB7-F1-model_v6	0.516	153	70	0	1	153	1	146	5.496e-18	805	uniprot
WP_144962511.1	AF-A0A559PPM8-F1-model_v6	1.0	135	0	0	1	135	1	135	2.973e-20	805	uniprot
WP_101445784.1	AF-A0A5B1B619-F1-model_v6	0.592	206	83	0	1	206	1	205	5.89e-20	804	uniprot
WP_119028839.1	AF-A0A2E6N6R2-F1-model_v6	0.604	134	53	0	1	134	1	134	6.878e-19	804	uniprot
WP_036821198.1	AF-A0A2P6CFP2-F1-model_v6	0.865	126	17	0	14	139	12	137	2.93e-16	804	uniprot
WP_156109137.1	AF-A0A2S7WSK9-F1-model_v6	0.622	143	53	0	1	143	2	143	2.441e-16	803	uniprot
WP_089663585.1	AF-A0A1H1RV00-F1-model_v6	1.0	140	0	0	1	140	1	140	3.9150000000000006e-20	803	uniprot
WP_026753275.1	AF-A0A5C7B683-F1-model_v6	0.549	171	77	0	9	179	1	171	3.864e-17	802	uniprot
WP_036826867.1	AF-A0A1Y0MXM9-F1-model_v6	0.796	157	32	0	1	157	1	157	6.063e-20	802	uniprot
WP_101449201.1	AF-A0A7C7JXK6-F1-model_v6	0.587	226	93	0	4	229	4	229	7.424e-18	801	uniprot
WP_148264592.1	AF-A0LZU4-F1-model_v6	0.994	175	1	0	1	175	4	178	2.817e-20	800	uniprot
WP_101450291.1	AF-A0A2N3TE56-F1-model_v6	1.0	168	0	0	2	169	29	196	1.158e-15	799	uniprot
WP_144725935.1	AF-A0A4Q9RVU7-F1-model_v6	0.635	159	58	0	1	159	24	182	5.718e-18	799	uniprot
WP_144726971.1	AF-A0A3N4H6F0-F1-model_v6	0.536	149	69	0	14	162	11	159	2.409e-18	799	uniprot
WP_091892640.1	AF-A0A1H1MMH2-F1-model_v6	1.0	142	0	0	1	142	1	142	4.782e-18	799	uniprot
WP_101444950.1	AF-A0A2N3T0Y3-F1-model_v6	1.0	137	0	0	1	137	1	137	1.054e-18	799	uniprot
WP_119030036.1	AF-A0A947ELZ2-F1-model_v6	0.538	218	95	0	7	224	1	207	1.739e-18	798	uniprot
WP_026753042.1	AF-A0A1D7XZX1-F1-model_v6	0.511	204	93	0	14	217	14	204	1.72e-16	798	uniprot
WP_101450632.1	AF-A0A2N3TF44-F1-model_v6	1.0	149	0	0	1	149	1	149	2.766e-15	798	uniprot
WP_101448944.1	AF-A0A023C038-F1-model_v6	0.844	135	21	0	1	135	1	135	8.398000000000001e-20	798	uniprot
WP_038528941.1	AF-T2KKW1-F1-model_v6	1.0	181	0	0	1	181	1	181	2.078e-17	797	uniprot
WP_026753059.1	AF-A0A1H7BTE4-F1-model_v6	0.763	169	39	0	1	165	1	169	2.329e-15	797	uniprot
WP_036827713.1	AF-A0A099XQU7-F1-model_v6	1.0	145	0	0	50	194	4	148	1.316e-18	797	uniprot
WP_101449827.1	AF-A0A0U3MYF9-F1-model_v6	0.472	182	95	0	1	181	1	182	2.999e-19	796	uniprot
WP_037348721.1	AF-A0A4Q4BAL7-F1-model_v6	0.847	177	27	0	18	194	8	184	1.172e-15	796	uniprot
WP_091893062.1	AF-A0A1H1N8G1-F1-model_v6	1.0	176	0	0	1	176	10	185	1.053e-15	796	uniprot
WP_119027652.1	AF-A0A942PD32-F1-model_v6	0.586	174	72	0	1	174	1	174	1.462e-16	796	uniprot
WP_144727015.1	AF-A0A8J2VAT3-F1-model_v6	0.736	148	39	0	18	165	18	165	5.896e-20	796	uniprot
WP_101449047.1	AF-A0A1V6LPK6-F1-model_v6	0.579	145	61	0	1	145	1	145	5.561e-18	796	uniprot
WP_038529703.1	AF-T2KKS3-F1-model_v6	1.0	124	0	0	1	124	1	124	5.573e-16	796	uniprot
WP_011709365.1	AF-A0A1L7I9J2-F1-model_v6	0.859	164	23	0	1	163	1	164	1.577e-19	795	uniprot
WP_011707934.1	AF-A0A9X1V0U4-F1-model_v6	0.666	162	54	0	1	162	1	162	3.853e-18	795	uniprot
WP_011710292.1	AF-A0M444-F1-model_v6	1.0	142	0	0	1	142	1	142	4.7170000000000005e-20	795	uniprot
WP_144726040.1	AF-A0A519TXP0-F1-model_v6	0.519	260	123	0	8	267	6	261	2.514e-16	794	uniprot
WP_144960786.1	AF-A0A4S1DVN7-F1-model_v6	0.68	197	62	0	1	197	1	194	1.949e-15	794	uniprot
WP_038532483.1	AF-A0A9X0YN18-F1-model_v6	0.62	153	58	0	1	153	1	153	3.07e-17	794	uniprot
WP_011709819.1	AF-A0M2R7-F1-model_v6	1.0	127	0	0	1	127	1	127	9.03e-15	794	uniprot
WP_091892821.1	AF-A0A1H1MX24-F1-model_v6	1.0	158	0	0	1	158	1	158	3.404e-17	793	uniprot
WP_144962798.1	AF-H7FP21-F1-model_v6	0.651	200	69	0	15	214	15	214	9.49e-16	792	uniprot
WP_200882357.1	AF-A8UQA7-F1-model_v6	0.61	166	64	0	1	166	1	166	1.432e-18	792	uniprot
WP_144726460.1	AF-A0A1G6CAG8-F1-model_v6	0.506	233	110	0	1	233	1	223	1.444e-15	791	uniprot
WP_036824159.1	AF-A0A7Y7DIH5-F1-model_v6	0.617	141	54	0	13	153	13	153	1.922e-15	791	uniprot
WP_011710966.1	AF-A0A1H1MH62-F1-model_v6	0.577	206	86	0	1	206	1	205	3.215e-16	790	uniprot
WP_011711278.1	AF-A0M6Y2-F1-model_v6	1.0	149	0	0	1	149	1	149	3.953e-19	790	uniprot
WP_144960804.1	AF-A0A7K1LRN3-F1-model_v6	0.673	144	47	0	2	145	76	219	4.8940000000000007e-20	790	uniprot
WP_101449987.1	AF-A0AAE3UAN6-F1-model_v6	0.549	171	76	0	1	170	1	171	1.609e-16	789	uniprot
WP_038527788.1	AF-T2KJA3-F1-model_v6	1.0	141	0	0	1	141	1	141	3.795e-15	789	uniprot
WP_101449494.1	AF-A0A2N3TBH7-F1-model_v6	0.881	211	25	0	1	211	9	219	6.604e-16	788	uniprot
WP_156032960.1	AF-A0A9E0S925-F1-model_v6	0.595	141	57	0	7	147	5	145	5.985e-17	788	uniprot
WP_026754457.1	AF-A0A1D7XZR4-F1-model_v6	0.684	230	72	0	1	230	1	230	2.096e-16	787	uniprot
WP_038529948.1	AF-A0A9X0YNM4-F1-model_v6	0.552	227	101	0	1	227	1	227	2.074e-16	787	uniprot
WP_091896625.1	AF-A0AAP1RH55-F1-model_v6	0.622	178	67	0	1	178	1	177	1.346e-15	787	uniprot
WP_261376416.1	AF-A0A559PMN1-F1-model_v6	1.0	160	0	0	1	160	1	160	6.105e-15	787	uniprot
WP_119027784.1	AF-A0A2K8XI71-F1-model_v6	0.608	143	56	0	3	145	1	143	2.568e-19	787	uniprot
WP_036822039.1	AF-A0A099Y3F1-F1-model_v6	1.0	140	0	0	1	140	1	140	4.613e-18	787	uniprot
WP_101448196.1	AF-A0A2N3T7C8-F1-model_v6	1.0	136	0	0	1	136	1	136	2.577e-15	787	uniprot
WP_144962722.1	AF-A0A559PQ57-F1-model_v6	1.0	124	0	0	1	124	1	124	1.595e-19	787	uniprot
WP_041250120.1	AF-A0A2R3ZA30-F1-model_v6	0.693	171	52	0	1	171	1	171	7.29e-16	786	uniprot
WP_156033065.1	AF-A0A1D7XWJ6-F1-model_v6	0.493	164	81	0	16	179	7	167	1.059e-17	786	uniprot
WP_036825151.1	AF-A0A5S3N537-F1-model_v6	0.6	135	53	0	1	135	6	139	6.701e-16	786	uniprot
WP_089661308.1	AF-A0A1M5GTT4-F1-model_v6	0.547	212	95	0	1	212	1	211	5.884e-15	785	uniprot
WP_101450543.1	AF-A0A1M6KTU8-F1-model_v6	0.613	199	77	0	1	199	1	199	1.175e-15	785	uniprot
WP_038529699.1	AF-A0A1I7I3P6-F1-model_v6	0.619	163	62	0	1	163	1	163	2.233e-16	785	uniprot
WP_036827476.1	AF-A0A1H5GWY7-F1-model_v6	0.737	175	46	0	1	175	1	175	8.66e-14	784	uniprot
WP_144963315.1	AF-A0A495PRA4-F1-model_v6	0.797	158	32	0	1	158	1	158	1.92e-16	784	uniprot
WP_144726444.1	AF-A0A840EH95-F1-model_v6	0.651	152	51	0	2	153	10	155	3.174e-19	784	uniprot
WP_026754124.1	AF-A0A5C7AZ50-F1-model_v6	0.642	187	66	0	1	187	5	189	3.819e-15	783	uniprot
WP_036827070.1	AF-A0A099XNK1-F1-model_v6	1.0	173	0	0	1	173	1	173	7.503e-16	783	uniprot
WP_036820975.1	AF-A0A3D9LLZ7-F1-model_v6	0.686	166	52	0	1	166	1	166	2.159e-16	782	uniprot
WP_119027957.1	AF-A0A5C7ARR8-F1-model_v6	0.62	137	52	0	1	137	1	137	4.583e-19	782	uniprot
WP_089661309.1	AF-A0A9X1V516-F1-model_v6	0.783	170	37	0	1	170	1	170	1.481e-16	781	uniprot
WP_143273633.1	AF-A0A2N3T8J0-F1-model_v6	1.0	169	0	0	1	169	1	169	2.828e-15	781	uniprot
WP_026934336.1	AF-S7WUG9-F1-model_v6	0.67	166	53	0	1	166	20	180	1.465e-15	780	uniprot
WP_101450552.1	AF-A0A2N3TEY8-F1-model_v6	1.0	146	0	0	1	146	1	146	2.735e-18	780	uniprot
WP_036827633.1	AF-A0A654DYP1-F1-model_v6	0.633	142	51	0	1	142	1	141	1.794e-19	780	uniprot
WP_026753428.1	AF-A0A4Q9FMF0-F1-model_v6	0.671	204	67	0	2	205	418	621	4.782e-17	779	uniprot
WP_041249965.1	AF-A0A2N0TRH6-F1-model_v6	0.628	199	73	0	1	198	1	199	7.627e-17	779	uniprot
WP_143273587.1	AF-A0A1M6EC45-F1-model_v6	0.704	186	55	0	1	186	7	192	5.244e-19	779	uniprot
WP_026754255.1	AF-A0A3S9MVA0-F1-model_v6	0.478	164	85	0	21	184	17	179	1.868e-16	779	uniprot
WP_038530957.1	AF-A0A258F7H3-F1-model_v6	0.535	228	106	0	1	228	1	228	4.228e-16	778	uniprot
WP_036826993.1	AF-A0A2A4RSN2-F1-model_v6	0.537	160	74	0	1	160	1	160	2.633e-17	778	uniprot
WP_101449375.1	AF-A0A846QSW6-F1-model_v6	0.562	221	96	0	1	221	1	220	3.875e-14	777	uniprot
WP_101450296.1	AF-L7WD48-F1-model_v6	0.521	186	87	0	1	186	1	182	1.076e-18	777	uniprot
WP_231481157.1	AF-A0AAE4T2D5-F1-model_v6	0.715	179	51	0	2	180	75	253	3.029e-16	777	uniprot
WP_119029279.1	AF-A0A397LGG5-F1-model_v6	1.0	146	0	0	1	146	1	146	2.213e-16	777	uniprot
WP_101448422.1	AF-A0A2N3T844-F1-model_v6	1.0	135	0	0	42	176	3	137	4.991e-18	777	uniprot
WP_091893638.1	AF-A0A2S7WJR1-F1-model_v6	0.575	265	110	0	1	259	1	265	7.192e-18	776	uniprot
WP_091896476.1	AF-A0A1H2DVK3-F1-model_v6	0.697	185	56	0	13	197	5	189	5.542e-16	776	uniprot
